Elapsed Time (s), Rod voltage (V)
1.9550,NaN

2.9320,0.0016

3.9320,0.0016

4.9320,0.0016

5.9320,0.0016

6.9330,0.0016

7.9320,0.0016

8.9330,0.0016

9.9320,0.0015

10.9320,0.0016

11.9320,0.0016

12.9320,0.0016

13.9320,0.0016

14.9320,0.0016

15.9320,0.0016

16.9330,0.0016

17.9320,0.0016

18.9320,0.0016

19.9320,0.0007

20.9330,-0.0007

21.9320,2.3675

22.9320,3.4297

23.9320,3.1468

24.9320,2.9037

25.9330,2.7756

26.9320,2.7613

27.9330,2.7651

28.9320,2.7692

29.9320,2.7702

30.9330,2.7713

31.9330,2.7734

32.9320,2.7746

33.9320,2.7750

34.9330,2.7756

35.9320,2.7765

36.9320,2.7778

37.9320,2.7782

38.9320,2.7785

39.9320,2.7792

40.9320,2.7802

41.9320,2.7808

42.9330,2.7814

43.9320,2.7816

44.9320,0.4013

45.9320,0.0020

46.9320,0.0017

47.9320,0.0016

48.9320,0.0015

49.9320,0.0015

50.9320,0.0015

