Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
2.1790,0.7857,0.1682,1.7121,1.7129,1.5268,1.2187,0.2912,1.0328,1.2187,1.0594

2.5340,-0.0168,-0.0788,1.8355,1.0339,1.5886,1.5891,0.2912,0.7756,1.5891,0.8918

3.2670,0.1684,0.1065,1.5268,1.5277,1.5886,1.4656,0.1060,0.8373,1.4656,0.9271

4.2670,0.2302,-0.0788,1.7121,1.5895,1.5268,1.5274,0.3529,0.8888,1.5274,0.9800

5.2670,-0.0168,-0.0170,1.6503,1.5895,1.5886,1.7743,0.2294,0.8373,1.7743,0.9712

6.2670,-0.0168,-0.0788,1.5886,1.8981,1.5886,1.8360,0.4147,0.8991,1.8360,1.0329

7.2680,-0.0785,0.0447,1.7738,2.1451,1.5886,1.3421,0.2912,0.9608,1.3421,1.0153

8.2670,-0.0168,0.0447,1.5886,1.8364,1.6503,1.6508,0.4764,0.9299,1.6508,1.0329

9.2670,-0.0168,0.2299,1.7738,1.6512,1.8973,1.4039,0.2294,0.9608,1.4039,1.0241

10.2680,0.0450,-0.1405,1.8355,1.5277,1.4651,1.4039,0.5999,0.8888,1.4039,0.9624

11.2670,0.1067,0.1682,1.5268,1.4660,1.7121,1.2804,0.4147,0.8991,1.2804,0.9536

12.2670,-0.0168,-0.0170,1.7121,1.7747,1.4651,1.1569,0.3529,0.8785,1.1569,0.9183

13.2670,-0.0785,-0.0170,1.8355,1.4043,1.5886,1.4039,0.6616,0.8991,1.4039,0.9712

14.2670,0.2919,0.4151,1.8355,1.4660,1.4033,1.2804,0.3529,0.9608,1.2804,1.0065

15.2670,-0.0168,0.0447,1.8973,1.2808,1.5886,1.2804,0.5999,0.8991,1.2804,0.9536

16.2670,-0.1402,0.1065,1.8355,1.9599,1.8355,1.4656,0.2294,0.9711,1.4656,1.0418

17.2670,-0.2019,-0.0170,1.7121,1.7129,1.7121,1.4039,0.7851,0.9505,1.4039,1.0153

18.2670,-0.1402,-0.0170,1.7738,1.4043,1.6503,2.1447,0.4147,0.8476,2.1447,1.0329

19.2670,-0.3254,0.2917,2.3295,1.7747,1.5268,1.7126,0.1677,0.9608,1.7126,1.0682

20.2670,-0.1402,0.0447,1.3416,1.6512,1.7121,1.4656,0.3529,0.8271,1.4656,0.9183

21.2670,-0.1402,-0.1405,1.7738,1.3425,1.5886,1.3421,0.7234,0.8579,1.3421,0.9271

22.2670,-0.0785,0.0447,1.5268,1.4043,1.6503,1.7126,0.3529,0.8168,1.7126,0.9447

23.2670,-0.0785,-0.1405,1.8973,1.6512,2.0825,1.5891,0.2912,0.9505,1.5891,1.0418

24.2670,0.6622,0.1682,1.7121,1.4043,1.5886,1.4039,-0.2645,0.8785,1.4039,0.9535

25.2670,0.0450,0.2299,1.7121,1.7129,1.7738,1.0952,0.0442,0.9197,1.0952,0.9447

26.2670,-0.5723,0.8473,1.7738,1.4660,1.5886,1.2804,0.2912,0.8991,1.2804,0.9536

27.2670,0.1684,0.1065,1.8973,1.7747,1.5886,1.2187,-0.0175,0.9196,1.2187,0.9624

28.2670,-0.2019,-0.0170,1.4651,1.8364,1.7738,0.6630,0.1677,0.8373,0.6630,0.8124

29.2670,-0.2637,0.2917,1.7738,1.8981,1.9590,1.5274,0.1060,0.9608,1.5274,1.0418

30.2670,0.0450,0.1682,1.6503,1.4660,1.5886,1.2804,0.2912,0.8682,1.2804,0.9271

31.2670,0.0450,1.3412,1.8973,1.4043,1.8355,1.6508,0.5381,1.1769,1.6508,1.2446

32.2670,-0.2019,0.3534,1.6503,1.5895,1.5268,1.3421,0.1677,0.8476,1.3421,0.9183

33.2670,-0.0168,-0.0788,1.6503,1.5895,1.7738,1.6508,0.4147,0.8888,1.6508,0.9977

34.2670,-0.0785,0.0447,1.6503,1.4660,1.6503,1.3421,0.3529,0.8476,1.3421,0.9183

35.2670,-0.0785,-0.0788,1.7738,1.7129,1.5886,1.7743,0.3529,0.8785,1.7743,1.0065

36.2670,0.0450,-0.0170,1.7738,1.4660,1.7738,1.3421,0.5999,0.9402,1.3421,0.9977

37.2670,-0.0168,-0.0788,1.7121,1.7129,1.8355,1.5891,0.1677,0.8888,1.5891,0.9888

38.2670,0.0450,-0.0788,1.7738,1.9599,1.7121,1.2804,0.1060,0.9197,1.2804,0.9712

39.2670,-0.2637,0.2299,1.5886,1.5277,1.4651,1.3421,0.2294,0.7962,1.3421,0.8742

40.2680,0.1067,-0.2640,1.7738,1.9599,1.7121,1.5274,-0.0175,0.8785,1.5274,0.9712

41.2670,0.1067,0.1065,1.4651,1.5277,1.5886,1.0335,0.2912,0.8476,1.0335,0.8742

42.2670,0.1684,0.2299,1.8355,1.6512,1.3416,1.2187,0.2294,0.9094,1.2187,0.9535

43.2670,-0.0168,0.1682,2.2060,1.4660,1.6503,1.4039,0.4147,0.9814,1.4039,1.0418

44.2670,0.3536,-0.2022,1.6503,1.6512,1.7121,1.5274,0.2294,0.8991,1.5274,0.9888

45.2670,-0.0785,-0.0170,1.7121,1.2191,1.8973,1.5274,0.2294,0.8271,1.5274,0.9271

46.2670,-0.0785,0.3534,2.0825,1.7747,1.8355,1.5274,0.2912,1.0431,1.5274,1.1123

47.2680,0.1684,-0.0788,1.8355,1.6512,1.7738,1.0952,0.2912,0.9402,1.0952,0.9624

48.2670,0.2302,0.1682,1.2799,1.5277,1.4651,1.4656,0.0442,0.7859,1.4656,0.8830

49.2670,-0.0785,0.1065,1.8973,1.9599,1.7738,1.4656,0.4147,1.0123,1.4656,1.0770

50.2670,-0.3871,0.2299,1.5886,1.4043,1.5886,1.3421,0.2294,0.7756,1.3421,0.8565

51.2680,-0.0168,0.1065,1.8355,1.5895,1.2181,1.8360,0.1677,0.8168,1.8360,0.9624

52.2670,-0.1402,0.0447,2.2677,1.7129,1.5268,1.0952,0.4147,0.9711,1.0952,0.9888

