Elapsed Time (s), Rod voltage (V), Rod Current (A), Rod Power (W)
1.8990,NaN,NaN,NaN

2.2550,0.0011,-0.0027,-0.0000

2.9710,0.0010,-0.0014,-0.0000

3.9710,0.0011,-0.0113,-0.0000

4.9710,0.0011,-0.0114,-0.0000

5.9710,0.0011,-0.0169,-0.0000

6.9710,0.0011,-0.0037,-0.0000

7.9710,0.0011,-0.0063,-0.0000

8.9710,0.0011,-0.0112,-0.0000

9.9710,0.0011,-0.0086,-0.0000

10.9710,0.0011,-0.0056,-0.0000

11.9710,0.0011,-0.0045,-0.0000

12.9710,0.0011,0.0010,0.0000

13.9710,0.0011,-0.0062,-0.0000

14.9720,0.0011,-0.0130,-0.0000

15.9710,0.0011,0.0023,0.0000

16.9710,0.0011,0.0016,0.0000

17.9710,0.0011,-0.0057,-0.0000

