Elapsed Time (s), Rod voltage (V), Rod Current (A), Rod Power (W)
1.9050,NaN,NaN,NaN

2.2600,0.0017,0.0716,0.0001

3.1230,0.0017,0.0632,0.0001

4.1220,0.0017,0.0586,0.0001

5.1220,0.0017,0.0525,0.0001

6.1220,0.0017,0.0526,0.0001

7.1220,0.0017,0.0585,0.0001

8.1230,0.0017,0.0558,0.0001

9.1220,0.0017,0.0586,0.0001

10.1220,0.0017,0.0570,0.0001

11.1220,0.0017,0.0507,0.0001

12.1220,0.0017,0.0600,0.0001

13.1220,0.0017,0.0634,0.0001

14.1220,0.0017,0.0576,0.0001

15.1220,0.0017,0.0588,0.0001

16.1220,0.0017,0.0534,0.0001

17.1220,0.0017,0.0510,0.0001

18.1220,0.0017,0.0509,0.0001

19.1220,0.0017,0.0597,0.0001

20.1220,0.0017,0.0727,0.0001

21.1230,0.0017,0.0715,0.0001

22.1220,0.0017,0.0697,0.0001

23.1220,0.0017,0.0598,0.0001

24.1220,0.0017,0.0658,0.0001

25.1230,0.0017,0.0680,0.0001

26.1220,0.0017,0.0591,0.0001

27.1220,0.0017,0.0648,0.0001

28.1220,0.0017,0.0587,0.0001

29.1220,0.0017,0.0721,0.0001

30.1220,0.0017,0.0533,0.0001

31.1220,0.0017,0.0502,0.0001

32.1220,0.0017,0.0494,0.0001

33.1220,0.0017,0.0454,0.0001

34.1220,0.0017,0.0600,0.0001

35.1220,0.0017,0.0852,0.0001

36.1220,0.0017,0.0666,0.0001

37.1220,0.0017,0.0645,0.0001

38.1220,0.0017,0.0620,0.0001

39.1230,0.0017,0.0569,0.0001

40.1220,0.0017,0.0676,0.0001

41.1220,0.0017,0.0756,0.0001

42.1220,0.0017,0.0587,0.0001

43.1220,0.0017,0.0561,0.0001

44.1220,0.0017,0.0695,0.0001

45.1220,0.0017,0.0649,0.0001

46.1220,0.0017,0.0433,0.0001

47.1220,0.0017,0.0576,0.0001

48.1220,0.0017,0.0626,0.0001

49.1220,0.0017,0.0631,0.0001

50.1220,0.0017,0.0521,0.0001

51.1230,0.0017,0.0533,0.0001

52.1220,0.0017,0.0524,0.0001

53.1220,0.0017,0.0612,0.0001

54.1220,0.0017,0.0575,0.0001

55.1220,0.0017,0.0562,0.0001

56.1220,0.0017,0.0615,0.0001

57.1220,0.0017,0.0538,0.0001

58.1220,0.0017,0.0524,0.0001

59.1220,0.0017,0.0595,0.0001

60.1220,0.0017,0.0603,0.0001

61.1220,0.0017,0.0449,0.0001

62.1220,0.0017,0.0568,0.0001

63.1220,0.0017,0.0511,0.0001

64.1230,0.0017,0.0517,0.0001

65.1220,0.0017,0.0468,0.0001

66.1230,0.0017,0.0534,0.0001

67.1220,0.0017,0.0520,0.0001

68.1230,0.0017,0.0603,0.0001

69.1220,0.0017,0.0545,0.0001

70.1220,0.0017,0.0489,0.0001

71.1220,0.0017,0.0606,0.0001

72.1220,0.0017,0.0535,0.0001

73.1220,0.0017,0.0568,0.0001

74.1220,0.0017,0.0547,0.0001

75.1220,0.0017,0.0614,0.0001

76.1220,0.0017,0.0576,0.0001

77.1230,0.0017,0.0615,0.0001

78.1220,0.0017,0.0565,0.0001

79.1220,0.0017,0.0506,0.0001

80.1220,0.0017,0.0593,0.0001

81.1220,0.0017,0.0564,0.0001

82.1220,0.0017,0.0580,0.0001

83.1220,0.0017,0.0506,0.0001

84.1220,0.0017,0.0634,0.0001

85.1220,0.0017,0.0388,0.0001

86.1220,0.0017,0.0496,0.0001

87.1220,0.0017,0.0639,0.0001

88.1220,0.0017,0.0649,0.0001

89.1220,0.0017,0.0472,0.0001

90.1220,0.0017,0.0564,0.0001

91.1220,0.0017,0.0505,0.0001

92.1230,0.0017,0.0608,0.0001

93.1220,0.0017,0.0606,0.0001

94.1220,0.0017,0.0572,0.0001

95.1220,0.0017,0.0504,0.0001

96.1220,0.0017,0.0380,0.0001

97.1220,0.0017,0.0469,0.0001

98.1220,0.0017,0.0655,0.0001

