Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V), Main Loop Flow (GPM), Flow Signal Amplitude (V)
1.9380,2.0589,5.3547,0.0000,0.0002

2.6940,2.0659,5.3908,0.0000,0.0000

3.6940,2.0629,5.3496,0.0000,0.0003

4.6940,2.0614,5.3496,0.0000,0.0002

5.6950,2.0605,5.3496,0.0000,0.0002

6.6940,2.0619,5.3805,0.0000,0.0002

7.6940,2.0629,5.3805,0.0000,0.0004

8.6950,2.0619,5.3445,0.0000,0.0002

9.6940,2.0609,5.3393,0.0000,0.0002

10.6940,2.0619,5.3856,0.0000,0.0002

11.6940,2.0629,5.3805,0.0000,0.0002

12.6950,2.0621,5.3702,0.0000,0.0002

13.6940,2.0629,5.3702,0.0000,0.0002

14.6940,2.0649,5.4010,0.0000,0.0002

15.6940,2.0671,5.4062,0.0000,0.0002

16.6940,2.0643,5.3084,0.0000,0.0002

17.6940,2.0651,5.4010,0.0000,0.0002

18.6940,2.0685,5.4319,0.0000,0.0002

19.6940,2.0689,5.3496,0.0000,0.0002

20.6940,2.0681,5.3650,0.0000,0.0002

21.6940,2.0663,5.3342,0.0000,0.0002

22.6940,2.0653,5.3445,0.0000,0.0002

23.6940,2.0649,5.3599,0.0000,0.0002

24.6940,2.0631,5.3547,0.0000,0.0002

25.6940,2.0617,5.3702,0.0000,0.0002

26.6940,2.0657,5.4113,0.0000,0.0002

27.6940,2.0643,5.3650,0.0000,0.0002

28.6940,2.0577,5.2621,0.0000,0.0002

29.6940,2.0399,4.8865,0.0000,0.0002

30.6940,2.0158,4.7425,0.0000,0.0002

31.6950,1.9918,4.7116,0.0000,0.0002

32.6940,1.9672,4.7065,0.0000,0.0002

33.6940,1.9427,4.7270,0.0000,0.0002

34.6940,1.9143,4.6190,0.0000,0.0002

35.6940,1.8697,4.2125,0.0000,0.0002

36.6940,1.8204,4.1354,0.0000,0.0002

37.6940,1.7737,4.1559,0.0000,0.0002

38.6950,1.7263,4.0325,0.0000,0.0002

39.6940,1.6846,3.8061,0.0000,0.0002

40.6940,1.6474,3.7803,0.0000,0.0002

41.6940,1.6083,3.6980,0.0000,0.0002

42.6940,1.5622,3.5128,0.0000,0.0002

43.6940,1.5098,3.3687,0.0000,0.0002

44.6940,1.4570,3.2504,0.0000,0.0002

45.6950,1.4216,3.2967,0.0000,0.0002

46.6940,1.3678,2.7410,0.0000,0.0002

47.6940,1.3080,2.6073,0.0000,0.0002

48.6940,1.2510,2.5558,0.0000,0.0002

49.6940,1.1924,2.2883,0.0000,0.0002

50.6940,1.1267,2.0773,0.0000,0.0002

51.6940,1.0558,1.8612,0.0000,0.0002

52.6940,0.9825,1.6143,0.0000,0.0002

