Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.9200,29.3252,28.0820,26.7491,25.6506,24.3346,29.6408,24.8615,29.8313,26.8283,29.7361,27.3094

2.2840,29.3278,28.0506,26.7592,25.6673,24.3410,29.6595,24.8541,29.8156,26.8292,29.7375,27.3094

3.2840,29.3412,28.0870,26.7782,25.6675,24.3365,29.6762,24.8694,29.8295,26.8421,29.7528,27.3232

4.2840,29.3216,28.0687,26.7660,25.6633,24.3390,29.6608,24.8340,29.8080,26.8317,29.7344,27.3076

5.2850,29.3345,28.0811,26.7666,25.6710,24.3643,29.6662,24.8662,29.8261,26.8435,29.7461,27.3220

6.2850,29.3422,28.0704,26.7695,25.6607,24.3370,29.6630,24.8654,29.8116,26.8359,29.7373,27.3150

7.2840,29.3419,28.0739,26.7745,25.6737,24.3433,29.6670,24.8505,29.8287,26.8415,29.7479,27.3192

8.2840,29.3374,28.0855,26.7659,25.6537,24.3445,29.6733,24.8570,29.8177,26.8374,29.7455,27.3169

9.2850,29.3372,28.0859,26.7733,25.6734,24.3707,29.7041,24.8810,29.8283,26.8481,29.7662,27.3317

10.2840,29.3103,28.0614,26.7658,25.6560,24.3550,29.6626,24.8635,29.8248,26.8297,29.7437,27.3124

11.2840,29.3371,28.0795,26.7839,25.6935,24.3338,29.6645,24.9001,29.8197,26.8456,29.7421,27.3265

12.2840,29.3215,28.0781,26.7957,25.6623,24.3388,29.6578,24.8821,29.8210,26.8393,29.7394,27.3196

13.2840,29.3199,28.0555,26.7759,25.6515,24.3335,29.6464,24.8798,29.8077,26.8273,29.7270,27.3088

14.2840,29.3448,28.0868,26.7591,25.6607,24.3197,29.6713,24.8654,29.8471,26.8342,29.7592,27.3194

15.2840,29.3343,28.0871,26.7731,25.6666,24.3220,29.6448,24.8789,29.8239,26.8366,29.7344,27.3163

16.2840,29.3518,28.0868,26.7559,25.6682,24.3357,29.6749,24.9084,29.8287,26.8397,29.7518,27.3263

17.2840,29.3500,28.0745,26.7689,25.6785,24.3567,29.6666,24.8752,29.8049,26.8457,29.7357,27.3219

18.2840,29.3428,28.0968,26.7573,25.6532,24.3418,29.6467,24.8806,29.8216,26.8384,29.7341,27.3176

19.2840,29.3292,28.0794,26.7451,25.6580,24.3494,29.6519,24.8816,29.8089,26.8322,29.7304,27.3130

20.2840,29.3324,28.0890,26.7722,25.6591,24.3347,29.6448,24.8945,29.8362,26.8375,29.7405,27.3203

21.2840,29.3320,28.0900,26.7699,25.6506,24.3348,29.6490,24.8813,29.8141,26.8355,29.7316,27.3152

22.2850,29.3220,28.0984,26.7510,25.6435,24.3540,29.6428,24.8742,29.8361,26.8338,29.7394,27.3152

23.2840,29.3481,28.0527,26.7712,25.6548,24.3301,29.6670,24.8959,29.8128,26.8314,29.7399,27.3166

24.2840,29.3422,28.0903,26.7357,25.6745,24.3582,29.6503,24.8915,29.8158,26.8402,29.7330,27.3198

25.2840,29.3308,28.0551,26.7434,25.6487,24.3492,29.6248,24.9054,29.8224,26.8255,29.7236,27.3100

26.2850,29.3315,28.0703,26.7708,25.6615,24.3182,29.6189,24.8932,29.8221,26.8305,29.7205,27.3108

27.2840,29.3337,28.0815,26.7670,25.6426,24.3445,29.6201,24.9144,29.8219,26.8339,29.7210,27.3157

28.2840,29.3283,28.0721,26.7708,25.6586,24.3330,29.6200,24.8926,29.8232,26.8326,29.7216,27.3123

