Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.8670,-0.3254,0.2917,2.6382,1.8981,1.5268,7.6392,0.6616,1.1152,7.6392,2.0472

2.5630,-0.0785,-0.1405,1.7121,1.8364,1.8973,7.6392,0.4764,0.9505,7.6392,1.9061

3.5640,-0.1402,0.1682,1.7121,1.9599,1.5268,8.3183,0.4764,0.9505,8.3183,2.0031

4.5630,-0.1402,-0.0170,1.7121,1.8364,1.7121,7.7627,0.5381,0.9402,7.7627,1.9149

5.5630,-0.7575,0.2299,1.7738,1.6512,1.7121,7.3922,0.6616,0.8785,7.3922,1.8091

6.5630,0.1067,0.2299,1.8355,1.5895,1.7121,7.8861,0.1677,0.9402,7.8861,1.9325

7.5630,-0.2019,-0.0788,1.6503,1.8364,1.6503,8.1331,0.4147,0.8785,8.1331,1.9149

8.5630,0.1067,-0.0170,1.9590,2.2068,1.5886,7.7009,0.2294,1.0123,7.7009,1.9678

9.5630,-0.2637,-0.0788,1.9590,1.7747,1.7738,7.6392,0.8468,1.0020,7.6392,1.9502

10.5630,-0.0785,0.2917,1.5886,1.9599,1.7121,7.7627,0.0442,0.9197,7.7627,1.8972

11.5630,0.3536,0.3534,1.5886,1.7129,1.4651,7.8244,0.4764,0.9917,7.8244,1.9678

12.5630,0.3536,0.3534,1.6503,1.7747,1.5268,7.8861,0.5999,1.0431,7.8861,2.0207

13.5630,-0.2019,0.4769,1.4651,1.7747,1.5886,7.8244,0.7851,0.9814,7.8244,1.9590

14.5640,0.3536,-0.0170,1.8355,1.7129,1.5268,7.7627,0.2912,0.9505,7.7627,1.9237

15.5630,-0.0168,0.1065,1.5886,1.8364,1.7121,8.1948,0.4147,0.9402,8.1948,1.9766

16.5630,0.0450,0.9708,3.6260,4.6762,0.0450,7.6392,3.0695,2.0721,7.6392,2.8674

17.5630,0.8474,0.6003,3.0704,3.0094,-0.0785,6.9601,1.5877,1.5061,6.9601,2.2853

18.5630,0.1684,-0.0170,3.1938,2.5772,-0.0785,7.5157,1.3408,1.1975,7.5157,2.1001

19.5640,-0.2019,0.3534,2.7617,3.0711,-0.3872,7.7627,1.8347,1.2386,7.7627,2.1706

20.5640,0.2302,0.3534,3.0086,2.7007,0.1067,7.8861,1.6495,1.3415,7.8861,2.2765

21.5630,0.1684,-0.0788,3.0086,2.8242,-0.5107,7.6392,1.8964,1.2180,7.6392,2.1353

22.5630,0.2302,-0.0788,3.0086,2.9476,0.0450,7.9479,1.2790,1.2386,7.9479,2.1971

23.5630,0.1067,0.6003,2.6999,3.5033,-0.0785,7.7627,1.3408,1.3621,7.7627,2.2764

24.5630,-0.0785,0.5386,3.0086,2.7007,0.0450,7.7009,1.7730,1.3312,7.7009,2.2412

25.5630,0.1684,0.6621,3.4408,3.2563,-0.0785,7.7009,1.4025,1.4753,7.7009,2.3647

26.5630,-0.0168,-0.1405,3.0086,2.5772,0.1067,7.7627,1.8347,1.2283,7.7627,2.1618

27.5640,0.8474,0.3534,2.7617,2.7007,0.0450,8.1331,0.5381,1.2077,8.1331,2.1971

28.5640,-0.0785,0.1682,3.0086,2.3920,0.2302,7.8244,1.4025,1.1872,7.8244,2.1354

29.5630,0.2302,0.6003,2.9469,2.8242,0.1067,7.5157,1.7112,1.4032,7.5157,2.2765

30.5630,0.1067,0.7856,2.8234,2.7624,0.3537,7.8861,1.8347,1.4444,7.8861,2.3647

31.5630,-0.1402,-0.0170,3.0086,2.7624,-0.2020,8.0713,1.4025,1.1357,8.0713,2.1265

32.5630,0.1067,0.2299,2.9469,2.5155,0.1067,7.8861,2.0817,1.3312,7.8861,2.2676

33.5630,0.1067,0.3534,3.4408,3.2563,-0.0785,8.2565,1.3408,1.4032,8.2565,2.3823

34.5630,0.1684,0.1065,3.8112,2.9476,-0.1402,7.8244,1.4643,1.3930,7.8244,2.3117

35.5630,0.1684,0.2917,3.0704,3.6885,-0.2637,7.7627,2.0199,1.4958,7.7627,2.3911

36.5630,0.0450,0.1065,2.7617,3.3180,-0.0167,8.3800,1.7112,1.3209,8.3800,2.3294

37.5630,0.1684,-0.0170,2.8234,2.7007,0.3537,7.2688,1.8964,1.3209,7.2688,2.1706

38.5630,0.0450,-0.0788,2.3912,3.0711,0.2920,7.7627,1.4025,1.1872,7.7627,2.1265

39.5630,0.4153,0.0447,2.8234,2.8242,0.9711,7.2070,1.8347,1.4856,7.2070,2.3029

40.5630,-0.0785,0.7238,2.9469,2.9476,0.1067,7.7009,1.3408,1.3312,7.7009,2.2412

41.5630,0.3536,0.4151,3.3173,2.8859,-0.0785,7.8244,1.6495,1.4238,7.8244,2.3382

42.5630,0.0450,0.2917,2.9469,3.6267,0.6007,7.8861,1.5877,1.5164,7.8861,2.4264

43.5630,-0.0168,0.3534,3.1938,2.6390,0.1685,8.8739,1.9582,1.3827,8.8739,2.4529

44.5630,0.1684,1.0942,3.1938,3.0711,-0.0785,7.8244,1.2173,1.4444,7.8244,2.3558

45.5630,0.1067,0.6621,2.6382,2.8242,0.1067,7.6392,1.4643,1.3004,7.6392,2.2059

46.5630,0.1684,0.4151,2.9469,3.0711,-0.6959,8.3800,1.8347,1.2901,8.3800,2.3029

47.5630,-0.0168,0.1682,2.2677,2.9476,-0.0167,7.6392,1.8347,1.1975,7.6392,2.1177

48.5630,-0.2019,0.5386,2.8234,3.3798,0.1067,7.9479,1.2790,1.3209,7.9479,2.2676

49.5640,0.1684,0.2917,2.6382,3.1946,-0.0167,7.8244,1.2173,1.2489,7.8244,2.1883

50.5630,-0.1402,0.2299,2.8851,2.8859,-0.0785,8.2565,2.1434,1.3209,8.2565,2.3117

51.5630,0.0450,0.4151,3.5025,3.3180,-0.0785,8.3800,1.3408,1.4238,8.3800,2.4176

52.5630,0.2302,-0.0788,2.5147,2.8242,0.0450,7.7009,1.7730,1.2180,7.7009,2.1442

53.5630,0.4771,-0.0170,3.1321,3.3180,0.0450,8.1331,1.8347,1.4650,8.1331,2.4176

54.5630,0.1067,-0.2640,3.0086,2.8242,-0.0167,8.1948,2.1434,1.3004,8.1948,2.2853

55.5630,0.1684,-0.2640,3.0704,3.3798,-0.2020,8.4418,2.0199,1.3621,8.4418,2.3735

56.5630,-0.0785,0.4769,3.1321,3.3798,-0.3255,8.0713,1.9582,1.4238,8.0713,2.3735

57.5630,-0.2019,0.2299,2.8851,3.2563,-0.1402,8.3800,1.7112,1.2901,8.3800,2.3029

58.5630,0.2302,-0.2640,2.3295,3.4415,-0.1402,8.3800,1.8964,1.2489,8.3800,2.2676

59.5630,0.0450,0.2917,2.8851,2.8242,0.0450,8.5652,1.3408,1.2386,8.5652,2.2853

60.5630,-0.2019,0.1065,3.1938,3.0094,-0.0785,7.8861,2.0817,1.3518,7.8861,2.2853

61.5630,-0.0785,0.4151,3.0086,3.5033,0.3537,8.0713,2.3904,1.5988,8.0713,2.5234

62.5630,0.7857,0.1682,3.0086,2.8859,0.0450,8.2565,1.3408,1.3724,8.2565,2.3558

63.5630,0.3536,0.2917,2.6999,3.1328,-0.0167,8.3800,1.3408,1.3003,8.3800,2.3117

64.5630,0.3536,0.2299,3.1938,2.9476,-0.0167,7.8861,1.7112,1.4032,7.8861,2.3294

65.5630,0.1684,0.3534,2.8234,3.3180,0.2920,8.3183,1.2790,1.3724,8.3183,2.3646

66.5630,-0.0168,-0.7579,2.8234,3.1328,-0.1402,7.8244,1.4025,1.0740,7.8244,2.0383

67.5630,0.1684,-0.0170,2.8851,3.0711,-0.2637,7.8861,1.4643,1.2180,7.8861,2.1706

68.5630,-0.0168,0.1065,2.5764,3.3180,-0.0167,8.0713,1.7112,1.2798,8.0713,2.2500

69.5640,-0.0168,-0.3257,3.0086,3.0094,-0.0167,8.3800,1.2790,1.1563,8.3800,2.1883

70.5630,0.0450,0.4151,3.4408,2.7624,-0.2637,7.9479,1.5260,1.3209,7.9479,2.2676

71.5630,-0.0168,0.2917,2.6382,3.0711,0.1067,8.4418,1.4643,1.2592,8.4418,2.2853

72.5630,-0.2019,0.2299,2.3912,3.3798,-0.0167,8.3800,2.2051,1.3312,8.3800,2.3382

73.5630,0.4153,0.8473,2.8234,3.0094,0.1685,7.8861,1.8964,1.5267,7.8861,2.4352

74.5630,0.2919,0.2299,3.2556,3.0094,0.1067,8.0713,3.0695,1.6605,8.0713,2.5763

75.5630,-0.2019,0.4769,3.0704,3.5650,0.3537,8.1331,2.5756,1.6399,8.1331,2.5675

76.5630,0.1684,1.0325,3.3791,2.8859,0.3537,7.7627,1.3408,1.5267,7.7627,2.4176

77.5640,-0.2019,0.2917,3.3791,3.0094,-0.6342,8.2565,1.5877,1.2386,8.2565,2.2412

78.5630,0.1684,0.2917,3.7495,2.8242,-0.0785,8.3800,1.7112,1.4444,8.3800,2.4352

79.5630,0.1067,-0.1405,3.0704,3.1328,0.3537,8.1331,1.3408,1.3106,8.1331,2.2853

80.5630,-0.0785,0.1682,2.8851,3.0094,-0.2020,8.5035,1.5260,1.2180,8.5035,2.2588

81.5630,0.1684,0.2917,3.3173,2.9476,-0.0785,8.2565,1.7112,1.3930,8.2565,2.3735

82.5630,-0.0785,0.1682,3.0086,2.3303,0.3537,7.9479,2.2051,1.3312,7.9479,2.2765

83.5630,-0.2019,0.9090,2.9469,3.6885,0.2302,8.0096,1.6495,1.5370,8.0096,2.4617

84.5630,-0.2019,0.6003,2.5764,3.0711,-0.2020,8.1948,1.8347,1.2798,8.1948,2.2676

85.5630,-0.1402,1.0325,3.1938,2.7007,0.1067,8.4418,1.3408,1.3724,8.4418,2.3823

86.5630,-0.0785,-0.0170,2.8851,3.3180,0.4155,8.0096,1.8347,1.3930,8.0096,2.3382

87.5630,-0.1402,0.1682,2.7617,2.8242,0.0450,7.8861,1.7112,1.2283,7.8861,2.1794

88.5630,-0.5106,0.2299,3.1938,3.0711,0.2302,8.3183,2.0817,1.3827,8.3183,2.3735

89.5630,-0.5106,0.2299,3.5025,2.4538,0.1067,8.1331,1.8347,1.2695,8.1331,2.2500

90.5630,-0.0168,0.2917,2.8851,2.8242,-0.2020,8.1331,1.2790,1.1769,8.1331,2.1706

91.5630,0.2302,-0.0170,3.1938,3.1946,0.2302,8.2565,1.7730,1.4341,8.2565,2.4088

92.5630,0.1684,0.3534,3.2556,3.1946,-0.2637,7.8861,1.7730,1.4135,7.8861,2.3382

93.5630,0.2302,0.2299,3.9965,3.1328,-0.0167,8.1331,1.4643,1.5061,8.1331,2.4529

94.5630,0.0450,0.4151,2.9469,2.9476,0.1685,7.8861,1.5260,1.3415,7.8861,2.2765

95.5630,-0.2019,0.4151,3.0086,3.1328,0.1067,8.1948,1.7112,1.3621,8.1948,2.3382

96.5630,-0.0168,0.2917,3.5025,2.7624,-0.0167,8.3183,1.4025,1.3209,8.3183,2.3206

97.5640,0.1067,0.1682,3.1938,2.5772,0.6007,7.9479,0.9703,1.2695,7.9479,2.2235

