Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V), Main Loop Flow (GPM), Flow Signal Amplitude (V)
1.8620,0.7700,2.0156,0.0000,0.0000

2.7140,0.7670,2.0001,0.0000,0.0000

3.7140,0.7634,1.9796,0.0000,0.0004

4.7140,0.7606,1.9693,0.0000,0.0004

5.7140,0.7637,2.0310,0.0000,0.0004

6.7140,0.7650,2.0207,0.0000,0.0004

7.7140,0.7649,2.0001,0.0000,0.0004

8.7140,0.7645,1.9950,0.0000,0.0004

9.7150,0.7649,2.0104,0.0000,0.0004

10.7150,0.7656,2.0207,0.0000,0.0004

11.7140,0.7648,1.9950,0.0000,0.0004

12.7140,0.7662,2.0362,0.0000,0.0004

13.7140,0.7676,2.0156,0.0000,0.0010

14.7140,0.7688,2.0001,0.0000,0.0010

15.7140,0.7676,2.0001,0.0000,0.0010

16.7140,0.7666,1.9950,0.0000,0.0010

17.7150,0.7658,1.9796,0.0000,0.0127

18.7140,0.7654,1.9847,33.7608,0.1065

19.7140,0.7643,1.9796,34.4666,0.1873

20.7140,0.7623,1.9693,34.3088,0.1503

21.7140,0.7621,1.9898,34.4155,0.1835

22.7140,0.7599,1.9796,34.3458,0.1881

23.7150,0.7587,1.9847,34.4472,0.1901

24.7140,0.7591,2.0104,34.5642,0.1792

25.7140,0.7595,2.0104,34.4495,0.1901

26.7140,0.7577,1.9487,34.4336,0.1807

27.7140,0.7587,2.0053,34.2667,0.1858

28.7150,0.7587,1.9847,34.1253,0.1715

29.7140,0.7591,1.9898,34.3503,0.1867

30.7140,0.7591,1.9693,34.2214,0.1819

31.7140,0.7583,1.9693,34.2642,0.1886

32.7140,0.7593,2.0053,34.2080,0.1776

33.7140,0.7587,1.9693,34.2962,0.1713

34.7140,0.7577,1.9847,34.2100,0.1619

35.7140,0.7565,1.9796,34.1532,0.1838

36.7140,0.7583,1.9950,33.9713,0.1889

37.7140,0.7577,1.9898,34.2483,0.1892

38.7140,0.7589,2.0156,34.1699,0.1840

39.7140,0.7583,1.9744,34.1916,0.1835

40.7140,0.7595,2.0001,34.2742,0.1895

41.7140,0.7591,1.9590,34.1257,0.1874

42.7140,0.7597,2.0207,34.1747,0.1886

43.7140,0.7605,1.9898,34.3701,0.1863

44.7140,0.7609,1.9950,34.2210,0.1816

45.7140,0.7613,1.9898,34.3442,0.1857

46.7140,0.7611,1.9898,34.0847,0.1717

47.7140,0.7607,1.9796,34.2466,0.1890

48.7140,0.7591,1.9744,34.2187,0.1696

49.7140,0.7591,1.9744,34.4585,0.1914

50.7150,0.7593,2.0053,34.3430,0.1797

