Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.8620,-0.0785,0.1682,1.8355,1.5895,1.2799,8.2565,0.5999,0.8991,8.2565,1.9501

2.7140,0.1684,0.1065,2.0208,1.5895,1.4651,8.3183,0.4147,0.9608,8.3183,2.0119

3.7140,0.0450,-0.2640,1.7738,1.5895,1.7121,8.5652,0.3529,0.8682,8.5652,1.9678

4.7140,-0.0168,0.0447,1.6503,1.7129,1.3416,8.4418,0.2912,0.8373,8.4418,1.9237

5.7140,0.7240,0.1682,1.5886,1.5895,1.5886,8.6887,0.1677,0.9711,8.6887,2.0736

6.7140,0.2302,-0.0170,1.8355,1.6512,1.5886,8.8122,-0.0793,0.8682,8.8122,2.0031

7.7140,-0.0785,0.1065,1.9590,2.0216,1.8973,8.2565,0.1060,1.0020,8.2565,2.0383

8.7140,0.2302,-0.0788,1.8355,1.4043,1.9590,8.3800,0.1060,0.9094,8.3800,1.9766

9.7150,-0.0168,-0.0788,1.0329,1.5895,1.5886,8.3183,0.3529,0.7447,8.3183,1.8267

10.7150,0.5388,-0.0170,1.5886,1.7747,1.5268,8.6887,-0.2027,0.8682,8.6887,1.9854

11.7140,-0.2019,-0.2022,1.7738,1.4660,1.7738,8.4418,0.7234,0.8888,8.4418,1.9678

12.7140,-0.2019,-0.2640,1.6503,1.7747,1.4651,8.5035,0.2294,0.7756,8.5035,1.8796

13.7140,0.1684,-0.0170,1.6503,1.9599,2.0208,8.6270,0.1060,0.9814,8.6270,2.0736

14.7140,0.2302,0.0447,1.7121,0.9104,2.0208,8.1948,0.2294,0.8579,8.1948,1.9060

15.7140,-0.0785,0.5386,4.1199,4.6762,0.3537,8.5035,2.6373,2.0412,8.5035,2.9644

16.7140,-1.1279,0.7856,2.8234,4.6145,-0.0785,8.5035,2.5138,1.5885,8.5035,2.5763

17.7150,-0.0785,0.0447,3.3791,3.3798,-0.3872,8.4418,1.7730,1.3518,8.4418,2.3647

18.7140,0.5388,0.2299,3.0086,3.6885,-0.1402,8.1948,2.2669,1.5987,8.1948,2.5410

19.7140,-0.0785,0.5386,3.1938,3.4415,0.1067,8.2565,1.7730,1.4959,8.2565,2.4617

20.7140,-0.1402,0.1065,3.3173,3.5650,0.0450,8.8122,2.0199,1.4856,8.8122,2.5322

21.7140,-0.0168,0.1065,3.3173,3.9354,0.1067,8.2565,2.3286,1.6296,8.2565,2.5763

22.7140,0.1684,-0.0170,3.6878,3.1328,-0.0167,8.6270,1.8964,1.4753,8.6270,2.4970

23.7150,-0.3871,0.0447,3.1321,3.3180,0.2302,8.6270,1.8347,1.3621,8.6270,2.3999

24.7140,-0.1402,-0.0170,3.3173,3.8737,-0.0167,8.5652,3.0078,1.6708,8.5652,2.6557

25.7140,-0.0168,-0.0170,2.9469,3.0094,-0.0785,8.6887,1.9582,1.3004,8.6887,2.3558

26.7140,-0.0785,0.1682,3.3173,3.5650,0.1067,8.5035,1.2790,1.3930,8.5035,2.4088

27.7140,-0.2019,-0.0788,2.9469,3.5033,-0.2020,8.5035,2.1434,1.3518,8.5035,2.3735

28.7150,0.1067,0.4769,3.1321,2.9476,0.1067,8.2565,1.7112,1.4135,8.2565,2.3911

29.7140,-0.2019,-0.0170,3.0704,4.0589,0.2920,8.5035,2.2051,1.5679,8.5035,2.5587

30.7140,-0.0785,-0.2022,3.0704,3.5033,0.2920,8.3183,2.2669,1.4753,8.3183,2.4529

31.7140,0.1067,-0.5109,3.1938,3.4415,-0.0167,8.6270,1.8964,1.3518,8.6270,2.3911

32.7140,-0.0785,0.0447,3.0704,3.0711,-0.0167,8.6270,1.6495,1.2901,8.6270,2.3382

33.7140,-0.0785,0.3534,3.1321,3.5033,0.1067,8.3183,1.6495,1.4444,8.3183,2.4264

34.7140,-0.5106,0.1682,3.3173,3.5650,-0.4489,8.5652,2.0817,1.3621,8.5652,2.3911

35.7140,-0.2019,-0.0788,2.9469,3.6885,-0.1402,8.6887,2.3904,1.4341,8.6887,2.4705

36.7140,0.0450,-0.2640,3.1321,3.3180,0.1067,8.3800,2.6991,1.5062,8.3800,2.4881

37.7140,0.1684,-0.0170,3.6260,3.8119,-0.1402,8.3183,2.1434,1.5988,8.3183,2.5587

38.7140,-0.0785,0.0447,2.9469,3.1328,0.2920,8.6270,1.7730,1.3518,8.6270,2.3911

39.7140,-0.0785,0.4151,2.6999,3.5033,0.1685,8.3183,2.3904,1.5164,8.3183,2.4881

40.7140,0.7240,0.2917,3.3173,3.8119,-0.3872,8.5035,1.2790,1.5061,8.5035,2.5057

41.7140,-0.2019,0.4151,3.0704,3.0094,0.1685,8.4418,2.0817,1.4238,8.4418,2.4264

42.7140,-0.0785,0.1682,3.1321,3.5033,-0.0785,8.6887,1.7112,1.3930,8.6887,2.4352

43.7140,-0.0785,0.5386,3.1321,3.3180,-0.2020,8.3800,1.8964,1.4341,8.3800,2.4264

44.7140,-0.0785,0.5386,3.3791,3.5033,-0.1402,8.2565,2.0199,1.5370,8.2565,2.4970

45.7140,0.2919,0.7856,3.2556,3.3798,-0.2020,8.5035,1.7112,1.5370,8.5035,2.5322

46.7140,-0.0168,0.0447,3.0086,3.6885,0.2920,8.3183,1.8964,1.4856,8.3183,2.4617

47.7140,-0.0168,-0.5726,3.3173,2.9476,0.1067,8.1948,1.8964,1.2798,8.1948,2.2676

48.7140,-0.1402,-0.0170,2.8851,3.2563,0.0450,8.7504,1.8964,1.3209,8.7504,2.3823

49.7140,-0.1402,-0.0170,2.9469,3.6267,-0.0785,8.5035,1.7730,1.3518,8.5035,2.3735

50.7150,0.1684,-0.0788,2.9469,3.6885,-0.1402,8.3183,2.2669,1.4753,8.3183,2.4528

51.7140,0.3536,-0.0170,3.0086,3.0094,0.0450,8.0713,1.8964,1.3827,8.0713,2.3382

52.7140,-0.2637,0.1682,2.6999,3.0711,-0.0785,8.1948,1.7730,1.2283,8.1948,2.2235

53.7150,-0.4489,0.1682,2.9469,3.0094,0.1685,8.3183,2.1434,1.3312,8.3183,2.3294

54.7140,-0.0168,-0.0788,2.8234,3.3798,0.0450,8.1948,2.0199,1.3621,8.1948,2.3382

55.7140,0.1067,-0.0170,3.7495,2.7007,0.1067,8.1331,1.8347,1.4136,8.1331,2.3735

56.7140,0.2919,-0.0788,3.0704,3.3798,0.0450,7.9479,1.5877,1.3827,7.9479,2.3206

57.7140,-0.0785,-0.0788,2.8851,2.8242,0.2302,9.0591,1.8964,1.2798,9.0591,2.3911

58.7140,0.0450,-0.3874,3.1938,3.1328,-0.0167,8.2565,1.7112,1.2798,8.2565,2.2765

59.7140,-0.1402,-0.0170,3.0086,3.1946,0.0450,8.3183,1.5877,1.2798,8.3183,2.2853

60.7140,0.0450,-0.0170,2.7617,3.3798,0.7859,8.3183,1.8964,1.4753,8.3183,2.4529

61.7140,-0.1402,-0.1405,3.0704,3.2563,0.1067,8.6270,2.4521,1.4341,8.6270,2.4617

62.7140,0.0450,0.1682,2.6999,3.3798,0.1685,8.3800,1.9582,1.4033,8.3800,2.3999

63.7140,-0.1402,0.1065,2.8851,3.8119,-0.5724,8.6887,1.9582,1.3415,8.6887,2.3911

64.7140,0.3536,-0.0788,3.1938,3.5650,-0.0785,8.0096,1.6495,1.4341,8.0096,2.3735

65.7140,0.1684,-0.0788,3.1938,3.3798,0.4155,8.1331,1.7112,1.4650,8.1331,2.4176

66.7140,-0.1402,-0.0788,3.0704,3.3798,0.2920,8.2565,1.7112,1.3724,8.2565,2.3558

67.7140,-0.0785,0.3534,2.6999,3.1946,-0.0785,8.6270,1.7730,1.3106,8.6270,2.3558

68.7150,-0.0168,0.0447,3.1321,3.0711,-0.0167,8.5035,2.5756,1.4650,8.5035,2.4705

69.7140,0.2302,0.4151,2.7617,3.2563,-0.2020,8.3183,2.0817,1.4238,8.3183,2.4087

70.7140,0.0450,0.4769,2.8851,3.1328,0.0450,8.3183,1.4643,1.3415,8.3183,2.3382

71.7140,-0.0785,0.2917,2.8851,3.3180,-0.3872,8.1331,1.8347,1.3106,8.1331,2.2853

72.7140,0.1067,0.1682,3.2556,3.4415,-0.1402,8.4418,1.4643,1.3827,8.4418,2.3911

73.7140,-0.0785,-0.1405,3.3173,3.2563,0.4772,8.6270,1.7112,1.4238,8.6270,2.4529

74.7140,0.2302,-0.1405,3.2556,2.7007,0.4155,8.3800,1.4025,1.3107,8.3800,2.3206

75.7140,-0.0785,0.0447,2.3295,3.5033,-0.0785,8.1948,1.7730,1.2489,8.1948,2.2412

76.7140,0.0450,-0.0170,2.7617,3.1946,0.1685,8.0713,1.7112,1.3106,8.0713,2.2765

77.7140,0.1684,-0.2640,3.2556,3.6885,-0.0785,8.3800,1.8347,1.4341,8.3800,2.4264

78.7140,0.2919,-0.2022,3.0086,3.1946,0.6624,8.1948,1.8964,1.4753,8.1948,2.4352

79.7150,-0.3254,-0.3257,2.8851,3.1946,-1.2516,8.7504,1.8347,1.0020,8.7504,2.1089

80.7140,-0.0168,-0.0788,3.3791,3.0094,-0.1402,8.4418,1.3408,1.2489,8.4418,2.2765

81.7140,0.1684,-0.6344,3.3173,3.0094,-0.0785,8.4418,1.7730,1.2592,8.4418,2.2853

82.7150,0.2919,-0.2022,3.0086,3.1946,0.0450,8.3183,1.7730,1.3518,8.3183,2.3470

83.7140,-0.3254,0.1682,2.6999,3.0094,0.2302,9.5530,1.9582,1.2901,9.5530,2.4705

84.7140,-0.0168,0.0447,3.1321,2.4538,0.1685,8.6887,2.0817,1.3107,8.6887,2.3647

85.7140,0.1684,0.2917,3.0086,2.8242,0.1067,8.3183,1.5260,1.3209,8.3183,2.3206

86.7140,-0.5723,0.3534,2.6999,3.1328,0.0450,8.3183,1.7730,1.2386,8.3183,2.2500

87.7140,-0.2019,0.4151,2.8851,3.9971,0.2302,8.4418,1.6495,1.4959,8.4418,2.4881

88.7140,-0.0168,0.3534,2.6999,3.3180,0.1685,8.2565,1.8347,1.3930,8.2565,2.3735

89.7140,-0.6958,0.2917,2.8234,3.4415,0.1685,8.5652,1.7730,1.3004,8.5652,2.3382

90.7140,-0.0785,0.3534,2.5147,3.2563,-0.0785,8.4418,1.7112,1.2798,8.4418,2.3029

91.7150,-0.0785,0.1065,2.8234,3.3798,-0.1402,8.9974,2.0199,1.3518,8.9974,2.4440

92.7140,0.1067,-0.3257,2.9469,2.8859,0.1685,8.0096,1.9582,1.2901,8.0096,2.2500

93.7140,0.1684,0.1065,3.3173,3.5650,-0.1402,8.1948,1.8964,1.4856,8.1948,2.4440

94.7140,-0.0785,-0.3257,2.2677,3.4415,-0.1402,8.3800,1.7730,1.1563,8.3800,2.1883

95.7150,-0.1402,0.2299,2.9469,3.5033,0.1067,8.2565,1.6495,1.3827,8.2565,2.3647

96.7140,0.2302,0.0447,2.5764,3.1946,-0.0167,7.8244,1.7112,1.2901,7.8244,2.2235

97.7140,0.1067,-0.3874,3.2556,3.5650,-0.2637,8.3183,1.4025,1.2798,8.3183,2.2853

98.7150,0.1684,0.1682,2.5764,2.5155,0.6007,7.8861,1.8347,1.3107,7.8861,2.2500

99.7150,-0.0785,-0.3874,2.7617,3.4415,-0.0785,8.5652,1.8964,1.2592,8.5652,2.3029

100.7140,-0.0785,0.0447,3.1321,3.0094,0.0450,9.3061,2.2051,1.3930,9.3061,2.5234

101.7140,-0.4489,0.2917,2.9469,3.3180,0.0450,8.5035,1.9582,1.3518,8.5035,2.3735

102.7140,0.1067,0.3534,2.9469,3.3180,0.1067,8.1331,1.4643,1.3827,8.1331,2.3470

103.7140,0.2302,-0.0170,3.0086,3.1946,-0.0167,7.8861,2.0199,1.4032,7.8861,2.3294

104.7140,-0.0785,-0.1405,3.0086,3.3180,0.0450,8.3800,2.4521,1.4341,8.3800,2.4264

105.7140,0.0450,-0.0170,3.0086,3.0711,0.1067,8.3183,1.9582,1.3621,8.3183,2.3558

106.7140,-0.0168,-0.6961,3.1321,3.1328,-0.0167,8.1331,1.7730,1.2180,8.1331,2.2059

107.7140,-0.0168,0.1065,2.5764,2.9476,0.1067,8.3800,1.7730,1.2489,8.3800,2.2676

108.7140,-0.1402,1.5881,3.1321,3.1946,-0.6342,8.3800,1.8964,1.5061,8.3800,2.4881

109.7140,-0.0785,0.1065,3.3791,2.7624,0.0450,8.1331,2.0199,1.3724,8.1331,2.3382

110.7140,0.0450,-0.1405,2.8851,3.3180,-0.0785,8.4418,1.9582,1.3312,8.4418,2.3470

111.7140,-0.2019,0.1065,3.8730,3.6885,0.1067,8.1331,2.0199,1.5988,8.1331,2.5322

112.7140,0.0450,-0.2022,3.5025,3.3180,0.0450,8.2565,1.7112,1.4033,8.2565,2.3823

113.7140,0.1067,0.2917,3.2556,3.0094,-0.2637,8.1331,1.8964,1.3827,8.1331,2.3470

114.7140,0.1684,-0.0788,3.0086,3.4415,0.1067,8.0096,1.8964,1.4238,8.0096,2.3647

115.7140,-0.1402,0.1065,2.9469,2.8859,0.1685,8.4418,1.8964,1.3107,8.4418,2.3294

116.7140,-0.0168,0.6003,3.0704,3.0094,0.0450,8.3183,1.7730,1.4135,8.3183,2.3999

117.7140,0.2302,0.0447,2.5147,3.2563,0.1685,8.1331,1.7730,1.3312,8.1331,2.3029

118.7140,0.1684,0.0447,3.2556,2.9476,0.1685,8.3800,2.0199,1.4341,8.3800,2.4264

119.7140,-0.0168,-0.0788,3.6878,3.3180,0.6007,8.0713,1.6495,1.5267,8.0713,2.4617

120.7140,0.2919,-0.2022,2.8851,3.5650,0.0450,8.1948,1.6495,1.3724,8.1948,2.3470

121.7140,-0.0168,0.3534,3.1321,3.0711,-0.1402,8.1948,1.8347,1.3724,8.1948,2.3470

122.7140,0.2919,-0.2640,2.5764,3.5033,0.2302,7.9479,2.0817,1.4032,7.9479,2.3382

