Elapsed Time (s), Rod voltage (V), Rod Current (A), Rod Power (W)
1.8910,NaN,NaN,NaN

2.7580,0.0019,0.0810,0.0002

3.7580,0.0019,0.0916,0.0002

4.7580,0.0019,0.0929,0.0002

5.7580,0.0019,0.0918,0.0002

6.7580,0.0008,0.0228,0.0000

7.7580,0.5408,37.4389,20.2454

8.7580,4.7835,284.2149,1359.5387

9.7580,5.0208,284.6216,1429.0225

10.7580,5.0413,284.6284,1434.8893

11.7580,5.0427,284.6305,1435.3013

12.7580,5.0292,284.6827,1431.7194

13.7580,5.0315,284.6751,1432.3364

14.7580,5.0328,284.6692,1432.6944

15.7580,5.0334,284.6658,1432.8254

16.7580,5.0334,284.6647,1432.8279

17.7580,5.0345,284.6592,1433.1202

18.7580,5.0352,284.6552,1433.2979

19.7580,5.0361,284.6513,1433.5284

20.7580,5.0371,284.6450,1433.7902

21.7580,5.0385,284.6390,1434.1476

22.7580,5.0361,284.6470,1433.5109

23.7590,5.0366,284.6432,1433.6404

24.7580,5.0365,284.6429,1433.6072

25.7580,5.0377,284.6368,1433.9159

26.7580,5.0379,284.6356,1433.9572

27.7580,5.0375,284.6334,1433.8479

28.7580,5.0383,284.6301,1434.0442

29.7580,5.0364,284.6370,1433.5462

30.7580,5.0371,284.6323,1433.7192

31.7580,5.0382,284.6269,1434.0205

32.7580,5.0388,284.6240,1434.1654

33.7580,5.0380,284.6253,1433.9376

34.7580,5.0383,284.6234,1434.0302

35.7580,5.0374,284.6260,1433.7655

36.7590,5.0384,284.6199,1434.0428

37.7580,5.0375,284.6222,1433.7803

38.7580,5.0385,284.6180,1434.0540

39.7580,5.0395,284.6132,1434.3013

40.7580,5.0399,284.6107,1434.4208

41.7580,5.0411,284.6046,1434.7280

42.7580,5.0416,284.6011,1434.8420

43.7580,5.0417,284.6008,1434.8719

44.7580,5.0429,284.5938,1435.1864

45.7590,5.0457,284.5823,1435.9034

46.7580,5.0440,284.5878,1435.4612

47.7580,5.0412,284.5973,1434.7013

48.7580,5.0427,284.5907,1435.1086

49.7580,5.0427,284.5899,1435.0882

50.7580,5.0437,284.5843,1435.3678

51.7580,5.0453,284.5775,1435.7761

52.7580,5.0440,284.5815,1435.4208

53.7580,5.0453,284.5761,1435.7703

54.7580,5.0447,284.5762,1435.6141

55.7580,5.0418,284.5867,1434.8178

56.7580,5.0402,284.5926,1434.4018

57.7580,5.0397,284.5925,1434.2566

58.7580,5.0392,284.5930,1434.1104

59.7580,5.0387,284.5943,1433.9793

60.7580,5.0409,284.5850,1434.5749

61.7580,5.0417,284.5809,1434.7626

62.7580,5.0412,284.5803,1434.6378

63.7580,5.0419,284.5776,1434.8172

64.7580,5.0408,284.5804,1434.5161

65.7580,5.0419,284.5742,1434.7934

66.7580,5.0405,284.5780,1434.4144

67.7580,5.0416,284.5752,1434.7104

68.7580,5.0429,284.5692,1435.0669

69.7580,5.0431,284.5672,1435.0885

70.7590,5.0445,284.5601,1435.4730

