Elapsed Time (s), Rod voltage (V), Rod Current (A), Rod Power (W)
1.8850,NaN,NaN,NaN

2.3160,0.0014,0.0585,0.0001

3.3160,0.0014,0.0495,0.0001

4.3160,0.0014,0.0657,0.0001

5.3170,0.0014,0.0555,0.0001

6.3160,0.0014,0.0646,0.0001

7.3160,0.0014,0.0550,0.0001

8.3160,0.0014,0.0686,0.0001

9.3160,0.0014,0.0617,0.0001

10.3160,0.0014,0.0518,0.0001

11.3170,0.0014,0.0632,0.0001

12.3160,0.0014,0.0562,0.0001

13.3170,0.0014,0.0449,0.0001

14.3160,0.0014,0.0615,0.0001

15.3160,0.0008,0.0076,0.0000

16.3160,0.0002,-0.0222,-0.0000

17.3160,4.0830,241.8724,987.5614

18.3160,5.1097,283.6924,1449.5874

19.3160,5.0974,283.9581,1447.4440

20.3160,5.0984,283.9743,1447.8281

21.3160,5.1033,283.9580,1449.1350

22.3160,5.1036,283.9578,1449.1941

23.3160,5.1047,283.9540,1449.4959

24.3160,5.1050,283.9511,1449.5768

25.3160,5.0906,284.0063,1445.7498

26.3160,5.0874,284.0239,1444.9480

27.3160,5.1036,283.9564,1449.2124

28.3160,5.0994,283.9681,1448.0782

29.3170,5.0840,284.0321,1444.0210

30.3160,5.0863,284.0240,1444.6229

31.3160,5.0913,284.0027,1445.9543

32.3160,5.0933,283.9919,1446.4617

33.3160,5.0920,283.9951,1446.0915

34.3160,5.0937,283.9889,1446.5470

35.3160,5.0941,283.9863,1446.6497

36.3160,5.1098,283.9187,1450.7545

37.3160,5.1124,283.9070,1451.4410

38.3160,5.1143,283.8968,1451.9324

39.3160,5.1146,283.8948,1452.0138

40.3160,5.1139,283.8960,1451.8223

41.3160,5.1136,283.8954,1451.7237

42.3160,5.1132,283.8976,1451.6130

43.3160,5.1141,283.8921,1451.8524

44.3160,5.1155,283.8852,1452.2077

45.3160,5.1166,283.8785,1452.5015

46.3160,5.1176,283.8741,1452.7467

47.3160,5.1186,283.8682,1453.0106

48.3160,5.1197,283.8621,1453.2756

49.3160,5.1204,283.8587,1453.4702

50.3160,5.1209,283.8555,1453.5901

51.3160,5.1216,283.8524,1453.7788

52.3170,5.1224,283.8471,1453.9675

53.3160,5.1230,283.8433,1454.1250

54.3170,5.1243,283.8367,1454.4537

55.3160,5.1251,283.8309,1454.6717

56.3160,5.1259,283.8261,1454.8724

57.3160,5.1268,283.8207,1455.0898

58.3160,5.1271,283.8187,1455.1631

59.3160,5.1276,283.8157,1455.2995

60.3160,5.1287,283.8095,1455.5632

61.3160,5.1290,283.8071,1455.6552

62.3160,5.1300,283.8019,1455.9015

63.3160,5.1313,283.7940,1456.2200

64.3160,5.1318,283.7917,1456.3640

65.3160,5.1321,283.7876,1456.4342

66.3160,5.1326,283.7843,1456.5479

67.3160,5.1335,283.7795,1456.7868

68.3160,5.1347,283.7731,1457.0959

69.3160,5.1360,283.7664,1457.4116

70.3160,5.1376,283.7581,1457.8286

71.3160,5.1394,283.7476,1458.2888

72.3160,5.1173,283.8391,1452.4765

73.3160,5.0951,283.9451,1446.7392

74.3160,5.0972,283.9369,1447.2734

75.3160,5.1012,283.9198,1448.3308

76.3160,5.1032,283.9086,1448.8450

77.3160,5.1002,283.9215,1448.0589

78.3160,5.1049,283.8997,1449.2788

79.3160,5.1067,283.8922,1449.7466

80.3160,5.1095,283.8781,1450.4744

81.3160,5.1033,283.9039,1448.8504

82.3160,5.1028,283.9057,1448.7065

83.3160,5.1040,283.9004,1449.0248

84.3160,5.1040,283.8988,1449.0332

85.3160,5.1041,283.8973,1449.0403

86.3160,5.1048,283.8934,1449.2259

87.3160,5.1052,283.8909,1449.3295

88.3160,5.1060,283.8878,1449.5186

89.3160,5.1076,283.8797,1449.9412

90.3160,5.1103,283.8693,1450.6552

91.3160,5.1152,283.8450,1451.9274

92.3160,5.1173,283.8341,1452.4639

93.3160,5.1172,283.8335,1452.4215

94.3160,5.1166,283.8349,1452.2693

95.3160,5.1154,283.8396,1451.9409

96.3160,5.1144,283.8446,1451.6987

97.3160,5.1165,283.8335,1452.2437

98.3160,5.1175,283.8288,1452.4807

99.3160,5.1177,283.8262,1452.5305
